Description,Category,Amount,Currency
Advis 122209291402050,Sale of Goods,0.0,DKK
Dk3dsf03.08,Sale of Goods,278.45,DKK
A. Vogel,Inventory / Equipment,-2359.59,DKK
Dk-Ind31.05,Sale of Goods,310.4,DKK
Dk3dsf29.03,Sale of Goods,1179.95,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,0.0,DKK
Helsam A/S,Inventory / Equipment,-9596.06,DKK
21706193MI 1030000764859083 ROLLZONE*,Inventory / Equipment,-207.21,EUR
Dk3dsf28.07,Sale of Goods,170.03,DKK
Dk3dsf22.05,Sale of Goods,172.3,DKK
Dk-Ind13.07,Sale of Goods,189.3,DKK
"Shopify* 166882371, Dublin",Software and subscription services,0.0,DKK
Dimensions A/S,professional fees,-1243.75,DKK
Dk-Ind25.04,Sale of Goods,111.9,DKK
Dk-Ind21.04,Sale of Goods,111.65,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
"Pensopay A/S, Vejle",Payment processing,-104.12,DKK
Nota nr,Debit-/Credit payments,-205.78,DKK
Advis 122302061203013 / OVERFØRSEL,Sale of Goods,114.01,DKK
Dk3dsf12.04,Sale of Goods,193.7,DKK
Dk-Ind09.07,Sale of Goods,81.7,DKK
Dk-Ind06.06,Sale of Goods,1417.5,DKK
Dk3dsf10.05,Sale of Goods,599.85,DKK
Desino,Marketing and advertising,-27500.0,DKK
Dk-Ind17.05,Sale of Goods,130.8,DKK
Dk3dsf23.03,Sale of Goods,261.7,DKK
Dk-Ind22.03,Sale of Goods,310.4,DKK
Udland - GUANGZHOU GUANGYANGZHIXING TECHNOLO,Sale of Goods,0.0,DKK
Dk3dsf13.07,Sale of Goods,968.9,DKK
Dk3dsf27.03,Sale of Goods,466.5,DKK
Advis 122205250902287,Sale of Goods,0.0,DKK
Dk-Ind30.05,Sale of Goods,348.9,DKK
Dk-Ind07.08,Sale of Goods,825.6,DKK
"FACEBK KDE57LXXC2, fb.me/ads",Marketing and advertising,-60.0,DKK
"FACEBK CDHBVMKXC2, fb.me/ads",Marketing and advertising,-136.14,DKK
Dk-Ind03.07,Sale of Goods,749.9,DKK
69184 - Partnerads,Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind06.07,Sale of Goods,662.9,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-20000.0,DKK
"Ads2091344156, 650-253-0000",Marketing and advertising,-34.63,DKK
invoice 12273690,Transfer,-23.12,EUR
"Shopify* 158328871, Dublin",Software and subscription services,-3576.99,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
"FACEBK JFFXDR7TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
"Shopify* 160324581, Dublin",Software and subscription services,-2468.12,DKK
Dk3dsf07.06,Sale of Goods,1360.95,DKK
Advis 122302151209222 / OVERFØRSEL,Sale of Goods,52946.62,DKK
Dk-Ind23.06,Sale of Goods,233.7,DKK
Dk-Ind07.06,Sale of Goods,562.6,DKK
M15154069MGVQYRK 1150014178071512 23340 interlinex.com,Inventory / Equipment,-1506.45,EUR
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf08.05,Sale of Goods,3943.11,DKK
3600.00 EUR to UA Trading Company,Inventory / Equipment,3600.0,EUR
Dk-Ind28.06,Sale of Goods,125.7,DKK
Dk-Ind27.07,Sale of Goods,458.5,DKK
PBS overførsel Reference,Debit-/Credit payments,-25.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,0.0,DKK
Dk-Ind10.07,Sale of Goods,175.5,DKK
Dk-Ind06.06,Sale of Goods,905.15,DKK
[ViaBill] Overførsel,Sale of Goods,1190.33,DKK
Anyday Settlement,Sale of Goods,7697.2,DKK
Afdrag varelager,Inventory / Equipment,-1500.0,DKK
Dk-Ind07.06,Sale of Goods,609.45,DKK
Dk-Ind25.05,Sale of Goods,102.55,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
Dk-Ind17.07,Sale of Goods,639.1,DKK
"Udenlandsk overførsel til Guangzhou Beautywellness Health omregnet fra 6838,86 EUR til kurs 746,741400 KRON23050900891F",Transfer,-51068.6,DKK
Dk-Ind24.04,Sale of Goods,558.55,DKK
Dk-Ind26.07,Sale of Goods,352.9,DKK
Dk-Ind13.07,Sale of Goods,540.65,DKK
Dk-Ind02.06,Sale of Goods,125.45,DKK
Dk-Ind19.06,Sale of Goods,525.1,DKK
"Ads2091344156, 650-253-0000",Marketing and advertising,-122.95,DKK
"Haan Postiljon DORDRECHT, NL",Shipping & Logistics,-2.0,EUR
02004478940010707238,Sale of Goods,291.5,DKK
Ads-B018uflf,Marketing and advertising,-5664.29,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
Dk-Ind25.07,Sale of Goods,376.05,DKK
Dk-Ind30.03,Sale of Goods,153.3,DKK
"FACEBK 4BQETHXSK2, fb.me/ads,",Marketing and advertising,-1500.0,DKK
Dk-Ind22.03,Sale of Goods,299.3,DKK
Dk-Ind16.03,Sale of Goods,285.6,DKK
Paddle.Net,Software and subscription services,-138.78,DKK
Advis 122308111401510 / CREDORAX BANK LIMITE,Sale of Goods,3711.59,DKK
-700.00 EUR to Mohammad Umair,Nonbusiness costs,-700.0,EUR
3000.00 EUR to UA Trading Company,Inventory / Equipment,3000.0,EUR
Dk3dsf10.08,Sale of Goods,180.8,DKK
M15154069MH6ZLIN 1150014468967978 23416 interlinex.com,Inventory / Equipment,-2286.9,EUR
Dk3dsf20.04,Sale of Goods,1233.05,DKK
Dk-Ind02.06,Sale of Goods,197.95,DKK
"Bp De Voetpomp Krabbendyke, Nl",Nonbusiness costs,-134.9,EUR
Dk-Ind30.05,Sale of Goods,449.1,DKK
Dk-Ind22.08,Sale of Goods,193.7,DKK
Dk-Ind18.07,Sale of Goods,267.45,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind25.07,Sale of Goods,812.1,DKK
Dk-Ind31.05,Sale of Goods,288.65,DKK
Dk-Ind11.04,Sale of Goods,146.95,DKK
"Reamaze.Com, Httpswww.Ream",Software and subscription services,-345.92,DKK
Dk-Ind17.07,Sale of Goods,193.7,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind17.04,Sale of Goods,181.6,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind12.06,Sale of Goods,113.7,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-5218.94,DKK
Dk-Ind12.06,Sale of Goods,146.6,DKK
"Refund: SHELL VARAKKER KESTEREN, NL",Sale of Goods,143.47,EUR
Dk-Ind06.06,Sale of Goods,481.9,DKK
A vogel,Inventory / Equipment,-2815.15,DKK
Dk-Ind01.05,Sale of Goods,213.6,DKK
Dk-Ind03.04,Sale of Goods,-251.7,DKK
Dk-Ind12.08,Sale of Goods,501.4,DKK
Dk-Ind05.04,Sale of Goods,169.7,DKK
"Shell Varakker Kesteren, Nl",Nonbusiness costs,-143.47,EUR
10852425 Txid 734074939 Multisafepay Payout merchant:10852425 07-06-2023,Sale of Goods,2444.04,EUR
Dk-Ind22.05,Sale of Goods,367.65,DKK
Til 8117 0004530831,Intragroup exchange,-28920.0,DKK
Dk-Ind16.03,Sale of Goods,166.5,DKK
Dk-Ind13.08,Sale of Goods,693.6,DKK
Dk3dsf24.04,Sale of Goods,1328.05,DKK
B20230622X002HJX000668533957 0030014327341392 Instapark NL52ABNA0554667061,Nonbusiness costs,-24.99,EUR
Dk-Ind24.03,Sale of Goods,345.12,DKK
Dk-Ind10.08,Sale of Goods,313.3,DKK
Anyday Settlement,Sale of Goods,7220.95,DKK
Dk-Ind26.05,Sale of Goods,744.0,DKK
Dk-Ind14.06,Sale of Goods,377.4,DKK
Advis 122305221203022 / Clearhaus AS,Sale of Goods,77883.51,DKK
Anyday Settlement,Sale of Goods,1019.69,DKK
Dk3dsf08.05,Sale of Goods,209.4,DKK
Dk-Ind22.07,Sale of Goods,273.7,DKK
Pharma Nord,Inventory / Equipment,-5535.13,DKK
Dk-Ind20.03,Sale of Goods,394.0,DKK
20746193MI 1030000750742137 ROLLZONE*,Inventory / Equipment,-67.76,EUR
10852425 Txid 725836029 Multisafepay Payout merchant:10852425 17-05-2023,Sale of Goods,3238.06,EUR
Shipmondo.com (DK),Shipping & Logistics,-500.0,DKK
Dk-Ind03.04,Sale of Goods,182.25,DKK
Dk-Ind20.06,Sale of Goods,585.1,DKK
"FACEBK Z99N4JTTK2, fb.me/ads,",Marketing and advertising,0.0,DKK
Pricerunner,Marketing and advertising,0.0,DKK
Dk-Ind27.07,Sale of Goods,150.5,DKK
Dk-Ind29.06,Sale of Goods,310.4,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
-3000.00 EUR to Mohammad Umair,Nonbusiness costs,-3000.0,EUR
Dk-Ind20.03,Sale of Goods,465.8,DKK
Dk3dsf25.07,Sale of Goods,1083.55,DKK
Advis 122306121401497 / Credorax Bank Limite,Sale of Goods,5051.91,DKK
Dk-Ind10.05,Sale of Goods,374.05,DKK
"Clearing: CLEARING-20234597434 (period Jun 202 / Funds: 955,00",Sale of Goods,955.0,EUR
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,-35254.29,DKK
Anyday Settlement,Sale of Goods,0.0,DKK
Dk-Ind12.07,Sale of Goods,546.5,DKK
"Snap, 310-399-3339",Marketing and advertising,-8.79,DKK
Dk3dsf19.04,Sale of Goods,193.7,DKK
"Clearing: CLEARING-20234575469, CLEARING-20234 / Funds: 805,95",Sale of Goods,805.95,EUR
"FiverrEU, Nicosia",Professional fees,-92.47,DKK
Dk3dsf09.08,Sale of Goods,529.88,DKK
Dk-Ind04.08,Sale of Goods,599.7,DKK
Dk-Ind21.03,Sale of Goods,286.5,DKK
Dk-Ind16.06,Sale of Goods,1207.9,DKK
Advis 122211090142159,Sale of Goods,0.0,DKK
"FiverrEU, Nicosia",Professional fees,-208.06,DKK
69184 - Partnerads,Marketing and advertising,-1000.0,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-6924.02,DKK
"Contentadlibitum.Dk, Viby",Marketing and advertising,-1875.0,DKK
Dk-Ind14.04,Sale of Goods,157.25,DKK
Dk3dsf17.05,Sale of Goods,374.85,DKK
"Shopify* 148870986, Dublin",Software and subscription services,-333.67,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind21.08,Sale of Goods,298.5,DKK
Dk-Ind06.06,Sale of Goods,959.7,DKK
Dk-Ind28.06,Sale of Goods,214.1,DKK
"FACEBK YPABKM3TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
02004478940012507232,Sale of Goods,67.25,DKK
Dk3dsf01.05,Sale of Goods,2470.2,DKK
Dk3dsf17.04,Sale of Goods,1234.55,DKK
21197193MI 1030000757200903 ROLLZONE*,Inventory / Equipment,-189.91,EUR
[ViaBill] Overførsel,Sale of Goods,282.92,DKK
Dk-Ind25.07,Sale of Goods,136.45,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,-4000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.04,DKK
Dk-Ind28.06,Sale of Goods,615.0,DKK
Advis 122306201202156 / Credorax Bank Limite,Sale of Goods,7770.05,DKK
Dk3dsf01.06,Sale of Goods,664.4,DKK
Dk-Ind10.04,Sale of Goods,212.15,DKK
Dk-Ind17.05,Sale of Goods,384.3,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf03.08,Sale of Goods,324.1,DKK
Dk-Ind28.06,Sale of Goods,409.4,DKK
Dk-Ind09.07,Sale of Goods,620.25,DKK
Dk-Ind15.05,Sale of Goods,152.7,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
Dk-Ind24.05,Sale of Goods,371.35,DKK
Helsam,Inventory / Equipment,-20451.66,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-22.86,DKK
Dk-Ind06.07,Sale of Goods,393.25,DKK
Anyday Settlement,Sale of Goods,3658.57,DKK
Dk-Ind18.07,Sale of Goods,646.16,DKK
"Udenlandsk overførsel fra KLARNA BANK AB omregnet fra 10206,65 SEK til kurs 63,5563800 KRON23060900BYYF",Transfer,6486.98,DKK
"Sikkerhedsstyre, Esbjerg",Nonbusiness costs,-105.0,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,-26151.44,DKK
Dk-Ind17.05,Sale of Goods,396.2,DKK
089109000580423,Intragroup exchange,-4000.0,DKK
20650193MI 1030000749146658 ROLLZONE*,Inventory / Equipment,-182.65,EUR
Postering,Shipping & Logistics,-181.18,DKK
Postering,Shipping & Logistics,579.38,DKK
Dk-Ind03.05,Sale of Goods,892.65,DKK
Dk-Ind28.06,Sale of Goods,1854.0,DKK
Dk-Ind09.06,Sale of Goods,118.65,DKK
Dk3dsf04.07,Sale of Goods,291.9,DKK
Udland - GUANGZHOU GUANGYANGZHIXING,Inventory / Equipment,-36383.49,DKK
Dk-Ind18.07,Sale of Goods,442.75,DKK
22140193MI 1030000773362319 ROLLZONE*,Inventory / Equipment,-16.94,EUR
Dk-Ind27.04,Sale of Goods,224.08,DKK
"FACEBK 9VCZ4G3TK2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk-Ind15.05,Sale of Goods,1511.0,DKK
Dk-Ind24.04,Sale of Goods,250.5,DKK
Dk-Ind26.07,Sale of Goods,374.3,DKK
Dk-Ind15.03,Sale of Goods,511.5,DKK
-1600.00 EUR to Mohammad Umair,Nonbusiness costs,-1600.0,EUR
Dk-Ind30.05,Sale of Goods,102.45,DKK
Postering,Shipping & Logistics,-100.0,DKK
Nets,Sale of Goods,9136.55,DKK
Dk3dsf22.05,Sale of Goods,525.7,DKK
Dk-Ind04.08,Sale of Goods,329.1,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,-3000.0,DKK
20963193MI 1030000753769550 ROLLZONE*,Inventory / Equipment,-54.45,EUR
"FACEBK T3MNGDKG92, fb.me/ads,",Marketing and advertising,-738.68,DKK
Dk3dsf24.03,Sale of Goods,290.55,DKK
Advis 122211090142159,Sale of Goods,1799.0,DKK
Dk-Ind25.05,Sale of Goods,372.8,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
Dk-Ind07.08,Sale of Goods,371.1,DKK
Dk-Ind23.05,Sale of Goods,1891.75,DKK
Dk3dsf15.07,Sale of Goods,511.45,DKK
-100.00 EUR to Mohammad Umair,Nonbusiness costs,-100.0,EUR
Dk-Ind10.07,Sale of Goods,344.4,DKK
"FACEBK UM4WEE3UK2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk3dsf10.05,Sale of Goods,108.65,DKK
Dk3dsf16.06,Sale of Goods,207.1,DKK
Dk-Ind23.06,Sale of Goods,240.9,DKK
Dk-Ind03.08,Sale of Goods,744.6,DKK
Dk3dsf26.05,Sale of Goods,772.02,DKK
"Snap, 310-399-3339",Marketing and advertising,-3.2,DKK
Dk-Ind01.08,Sale of Goods,1770.9,DKK
"Ads2091344156, 650-253-0000",Marketing and advertising,0.0,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind15.08,Sale of Goods,233.19,DKK
Dk-Ind15.05,Sale of Goods,225.15,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,-35274.56,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,-4000.0,DKK
Dk3dsf01.06,Sale of Goods,229.15,DKK
ALLERGICA,Inventory / Equipment,-1855.13,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Shopify* 171076754, Dublin",Software and subscription services,0.0,DKK
Dk3dsf06.06,Sale of Goods,428.55,DKK
Dk-Ind17.03,Sale of Goods,636.81,DKK
Nets,Sale of Goods,3882.49,DKK
Nets,Sale of Goods,3796.26,DKK
Dk-Ind03.04,Sale of Goods,1048.9,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
000000002000515,Debit-/Credit payments,-122.5,DKK
Dk-Ind22.03,Sale of Goods,273.45,DKK
"Postnord Porto, Koebenhavn S",Shipping & Logistics,-95.0,DKK
jem&fix Haderslev,"Maintenance, repair and constructing",-465.95,DKK
Dk-Ind30.05,Sale of Goods,338.85,DKK
Anyday Settlement,Sale of Goods,37584.81,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
"Upwork -519276884REF, +1",Software and subscription services,1363.21,DKK
Dk3dsf12.08,Sale of Goods,679.8,DKK
CAMETTE APS,Inventory / Equipment,-2057.06,DKK
Dk-Ind25.07,Sale of Goods,866.95,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
M15154069MGNBAQQ 1150013963177222 23274 interlinex.com,Inventory / Equipment,-1942.05,EUR
Dk-Ind01.08,Sale of Goods,181.5,DKK
Dk-Ind12.08,Sale of Goods,487.85,DKK
Dk-Ind19.05,Sale of Goods,588.4,DKK
Bjarne Hallstrøm,"Rent, mortgage & utilities",0.0,DKK
Postering,Shipping & Logistics,-500.0,DKK
"Shopify* 178014547, Dublin",Software and subscription services,-1021.44,DKK
10852425 Txid 750018747 Multisafepay Payout merchant:10852425 19-07-2023,Sale of Goods,2117.01,EUR
LeverandørService 53821MXNEY APS,Loans/ Debts,-28590.64,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
Nordfolk,Inventory / Equipment,-5737.5,DKK
Advis 122206030902377,Sale of Goods,12101.45,DKK
"Shopify* 162300900, Dublin",Software and subscription services,-679.66,DKK
Dk-Ind09.06,Sale of Goods,296.85,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf09.05,Sale of Goods,649.0,DKK
Advertising,Marketing and advertising,-125.82,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Indløsningsgebyr 01-05-2023 - 31-05-2023. Forretningsnr 9299777. Antal 0000913. Løbenr,Banking Fees,-1532.82,DKK
Dimensions A/S,professional fees,-3409.38,DKK
Dk-Ind28.06,Sale of Goods,660.45,DKK
Dk-Ind03.07,Sale of Goods,343.6,DKK
Dk3dsf24.05,Sale of Goods,326.45,DKK
Dk-Ind08.06,Sale of Goods,625.3,DKK
Dk-Ind12.07,Sale of Goods,146.45,DKK
VVS Søberg privat,Professional fees,-7646.19,DKK
Advis 122205300903160,Sale of Goods,3722.24,DKK
Postering,Shipping & Logistics,-500.69,DKK
Dk-Ind15.05,Sale of Goods,553.1,DKK
Dk-Ind18.07,Sale of Goods,146.6,DKK
Dk-Ind09.06,Sale of Goods,288.65,DKK
M15154069MH6ZKM5 1150014468945270 23455 interlinex.com,Inventory / Equipment,-3043.15,EUR
Advis 122303031401579 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind25.07,Sale of Goods,862.75,DKK
Dk-Ind25.07,Sale of Goods,231.0,DKK
Postering,Shipping & Logistics,-105.0,DKK
"Gebyr udland 50,00 DKK KRON23080400IORA",Banking Fees,-50.0,DKK
Dk-Ind05.07,Sale of Goods,-177.65,DKK
Dk-Ind01.08,Sale of Goods,878.35,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-448.75,DKK
Dk-Ind29.06,Sale of Goods,628.5,DKK
"FACEBK QKC4GQBTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Advis 122302210144575 / F:32/MS Branding A/S,Sale of Goods,0.0,DKK
MobilePay: MobilePay Mia Møller,Sale of Goods,-1187.65,DKK
"FACEBK WAXHPH7TK2, fb.me/ads,",Marketing and advertising,-6000.0,DKK
Dk3dsf30.05,Sale of Goods,544.4,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Indløsningsgebyr 06-03-2023 - ?1-06-2023. Forretningsnr 9299777. Antal 0000623. Løbenr,Banking Fees,-1154.09,DKK
Dk-Ind14.06,Sale of Goods,408.25,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
Dk-Ind22.08,Sale of Goods,459.4,DKK
Anyday Settlement,Sale of Goods,12687.04,DKK
Dk-Ind28.06,Sale of Goods,436.9,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
2050.00 EUR to UA Trading Company,Inventory / Equipment,2050.0,EUR
"Jasper.Ai, Rollingwood",Software and subscription services,0.0,DKK
Dk-Ind30.06,Sale of Goods,636.6,DKK
Dk-Ind13.04,Sale of Goods,183.0,DKK
Dk-Ind03.04,Sale of Goods,412.5,DKK
Advis 122302141207506 / OVERFØRSEL,Sale of Goods,22307.41,DKK
Dk-Ind12.05,Sale of Goods,535.71,DKK
"Klaviyo Inc. Software, Klaviyo.Com",Software and subscription services,0.0,DKK
Rente af indestående,Debit-/Credit payments,-57.57,DKK
Dk-Ind29.06,Sale of Goods,735.7,DKK
Dk-Ind22.03,Sale of Goods,294.4,DKK
Dk-Ind25.04,Sale of Goods,307.71,DKK
Dk3dsf13.04,Sale of Goods,33.95,DKK
CAMETTE APS,Inventory / Equipment,-598.5,DKK
Dk-Ind05.04,Sale of Goods,286.7,DKK
Advis 122211150140469,Sale of Goods,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Anyday Settlement,Sale of Goods,0.0,DKK
Dk-Ind24.07,Sale of Goods,398.6,DKK
Dk3dsf14.06,Sale of Goods,1508.25,DKK
Dk-Ind15.08,Sale of Goods,285.58,DKK
Advis 122303271202442 / OVERFØRSEL,Sale of Goods,165331.63,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
Dk3dsf21.03,Sale of Goods,356.25,DKK
REFUND,Sale of Goods,1306.63,EUR
Dk-Ind04.07,Sale of Goods,503.31,DKK
Dk-Ind03.08,Sale of Goods,202.3,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-931.88,DKK
Advis 122305091202560 / Clearhaus AS,Sale of Goods,70225.14,DKK
Helsam,Inventory / Equipment,-18400.0,DKK
"Ads5180743448, 650-253-0000",Marketing and advertising,-4000.0,DKK
Dk-Ind22.08,Sale of Goods,177.6,DKK
Dk-Ind17.04,Sale of Goods,462.7,DKK
Dk-Ind28.03,Sale of Goods,840.7,DKK
Dk-Ind03.07,Sale of Goods,257.05,DKK
Dk-Ind19.04,Sale of Goods,250.5,DKK
Shipmondo.com (DK),Shipping & Logistics,-500.0,DKK
"FACEBK QKC4GQBTK2, fb.me/ads",Marketing and advertising,1212.91,DKK
Dk3dsf06.08,Sale of Goods,341.75,DKK
Dk-Ind28.07,Sale of Goods,183.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-1286.88,DKK
Dk-Ind22.05,Sale of Goods,128.45,DKK
Postering,Shipping & Logistics,3946.5,DKK
Dk-Ind15.08,Sale of Goods,2766.85,DKK
Dk-Ind29.06,Sale of Goods,1003.45,DKK
20817193MI 1030000751685415 ROLLZONE*,Inventory / Equipment,-147.56,EUR
21133193MI 1030000755762620 ROLLZONE*,Inventory / Equipment,-147.56,EUR
Dk-Ind09.06,Sale of Goods,479.5,DKK
Dk-Ind28.03,Sale of Goods,353.3,DKK
20994193MI 1030000754215342 ROLLZONE*,Inventory / Equipment,-168.13,EUR
Dk-Ind26.04,Sale of Goods,394.7,DKK
Dk-Ind22.05,Sale of Goods,862.5,DKK
Advis 122303091202583 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind10.07,Sale of Goods,68.45,DKK
21623193MI 1030000763517734 ROLLZONE*,Inventory / Equipment,-178.17,EUR
overført privat,Transfer,-10000.0,DKK
MobilePay Vorbasse M. Fodbold - Gul,Sale of Goods,-70.0,DKK
Dk-Ind18.06,Sale of Goods,303.1,DKK
10852425 Txid 748546881 Multisafepay Payout merchant:10852425 15-07-2023,Sale of Goods,1835.92,EUR
Dk-Ind24.04,Sale of Goods,656.2,DKK
"FACEBK 2D8B4Q3UK2, fb.me/ads,",Marketing and advertising,-3911.97,DKK
Dk-Ind03.07,Sale of Goods,747.6,DKK
Postering,Shipping & Logistics,-70.0,DKK
Dk-Ind20.03,Sale of Goods,432.7,DKK
ALLERGICA,Inventory / Equipment,-1428.0,DKK
Dk-Ind06.07,Sale of Goods,548.8,DKK
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,-34465.81,DKK
Notanr,Debit-/Credit payments,-4.65,DKK
"FACEBK QVY7FLBXC2, fb.me/ads",Marketing and advertising,0.0,DKK
[ViaBill] Overførsel,Sale of Goods,1005.92,DKK
Fragt med lidt moms på,VAT and income tax,-20632.5,DKK
Dk3dsf01.05,Sale of Goods,759.25,DKK
6100.00 EUR to UA Trading Company,Inventory / Equipment,6100.0,EUR
PBS overførsel Reference / Ann. postering fra 28-04-2023,Transfer,24.19,DKK
CAMETTE APS,Inventory / Equipment,-2247.19,DKK
Dk-Ind20.06,Sale of Goods,954.55,DKK
Advis 122302091203149 / OVERFØRSEL,Sale of Goods,462010.9,DKK
Dk-Ind14.08,Sale of Goods,225.15,DKK
Helsam A/S,Inventory / Equipment,-11945.93,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
20838193MI 1030000751921313 ROLLZONE*,Inventory / Equipment,-168.13,EUR
Nets,Sale of Goods,1968.56,DKK
Dk-Ind20.04,Sale of Goods,396.1,DKK
Dk-Ind21.07,Sale of Goods,560.95,DKK
10852425 Txid 731695001 Multisafepay Payout merchant:10852425 01-06-2023,Sale of Goods,4359.29,EUR
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,0.0,DKK
Dk-Ind30.05,Sale of Goods,233.5,DKK
Dk-Ind21.07,Sale of Goods,498.05,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind07.06,Sale of Goods,194.4,DKK
Dk-Ind28.03,Sale of Goods,560.8,DKK
Dk3dsf16.03,Sale of Goods,-1319.55,DKK
Dk-Ind19.04,Sale of Goods,157.05,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
-150.00 EUR to Mohammad Umair,Nonbusiness costs,-150.0,EUR
Dk-Ind03.04,Sale of Goods,130.45,DKK
Dk-Ind13.04,Sale of Goods,195.15,DKK
"Upwork -512990061REF, +1",Software and subscription services,0.0,DKK
"Shopify* 176849937, Dublin",Software and subscription services,-8955.29,DKK
"Snap, 310-399-3339",Marketing and advertising,-100.0,DKK
Dk3dsf25.07,Sale of Goods,301.65,DKK
Dk-Ind15.08,Sale of Goods,402.55,DKK
Udland - GRZEGORZ GLOGOWSKI,Shipping & Logistics,-113.9,DKK
Dk-Ind04.05,Sale of Goods,889.4,DKK
Helsam,Inventory / Equipment,-6942.82,DKK
"Clearing: CLEARING-20234460648 (period Apr 202 / Funds: 1.166,95",Sale of Goods,1166.95,EUR
Dk-Ind01.06,Sale of Goods,1120.5,DKK
Dk-Ind22.08,Sale of Goods,512.1,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Udland - ADTRACTION AB,Marketing and advertising,0.0,DKK
Dk-Ind14.06,Sale of Goods,223.5,DKK
"ADS4649893433, ccØgoogle.co",Marketing and advertising,0.0,DKK
Dk-Ind14.06,Sale of Goods,174.45,DKK
Dk3dsf27.03,Sale of Goods,281.7,DKK
